game_pk,half_inning,label
716505,Top_1st,1
716506,Bot_1st,0
716506,Top_1st,0
716507,Bot_1st,1
716507,Top_1st,1
716508,Bot_1st,0
716508,Top_1st,1
716509,Bot_1st,0
716509,Top_1st,1
716510,Bot_1st,1
716510,Top_1st,1
716511,Bot_1st,1
716511,Top_1st,1
716512,Bot_1st,1
716512,Top_1st,0
716513,Bot_1st,1
716513,Top_1st,0
716514,Bot_1st,1
716514,Top_1st,1
716515,Bot_1st,1
716515,Top_1st,1
716516,Bot_1st,0
716516,Top_1st,0
716517,Bot_1st,1
716517,Top_1st,0
716518,Bot_1st,1
716518,Top_1st,1
716519,Bot_1st,0
716519,Top_1st,1
716520,Bot_1st,1
716520,Top_1st,1
716521,Bot_1st,1
716521,Top_1st,0
716522,Bot_1st,0
716522,Top_1st,0
716523,Bot_1st,1
716523,Top_1st,1
716524,Bot_1st,1
716524,Top_1st,1
716525,Bot_1st,1
716525,Top_1st,1
716526,Bot_1st,0
716526,Top_1st,0
716527,Bot_1st,0
716527,Top_1st,0
716528,Bot_1st,0
716528,Top_1st,0
716529,Bot_1st,1
716529,Top_1st,1
716530,Bot_1st,1
716530,Top_1st,1
716531,Bot_1st,1
716531,Top_1st,1
716532,Bot_1st,1
716532,Top_1st,1
716533,Bot_1st,1
716533,Top_1st,1
716534,Bot_1st,0
716534,Top_1st,0
716535,Bot_1st,1
716535,Top_1st,0
716536,Bot_1st,1
716536,Top_1st,1
716537,Bot_1st,1
716537,Top_1st,1
716538,Bot_1st,1
716538,Top_1st,1
716539,Bot_1st,1
716539,Top_1st,1
716540,Bot_1st,1
716540,Top_1st,0
716541,Bot_1st,0
716541,Top_1st,1
716542,Bot_1st,1
716542,Top_1st,0
716543,Bot_1st,1
716543,Top_1st,0
716544,Bot_1st,1
716544,Top_1st,0
716545,Bot_1st,1
716545,Top_1st,1
716546,Bot_1st,0
716546,Top_1st,0
716547,Bot_1st,1
716547,Top_1st,1
716548,Bot_1st,0
716548,Top_1st,0
716549,Bot_1st,1
716549,Top_1st,0
716550,Bot_1st,1
716550,Top_1st,0
716551,Bot_1st,0
716551,Top_1st,0
716552,Bot_1st,0
716552,Top_1st,1
716553,Bot_1st,1
716553,Top_1st,1
716554,Bot_1st,1
716554,Top_1st,1
716555,Bot_1st,1
716555,Top_1st,0
716556,Bot_1st,1
716556,Top_1st,1
716557,Bot_1st,0
716557,Top_1st,1
716558,Bot_1st,0
716558,Top_1st,0
716559,Bot_1st,1
716559,Top_1st,0
716560,Bot_1st,1
716560,Top_1st,0
716561,Bot_1st,1
716561,Top_1st,0
716562,Bot_1st,1
716562,Top_1st,1
716563,Bot_1st,1
716563,Top_1st,1
716564,Bot_1st,1
716564,Top_1st,1
716565,Bot_1st,1
716565,Top_1st,1
716566,Bot_1st,0
716566,Top_1st,1
716567,Bot_1st,1
716567,Top_1st,1
716568,Bot_1st,1
716568,Top_1st,0
716569,Bot_1st,0
716569,Top_1st,1
716570,Bot_1st,0
716570,Top_1st,1
716571,Bot_1st,1
716571,Top_1st,0
716572,Bot_1st,1
716572,Top_1st,1
716573,Bot_1st,0
716573,Top_1st,1
716574,Bot_1st,0
716574,Top_1st,0
716575,Bot_1st,1
716575,Top_1st,0
716576,Bot_1st,0
716576,Top_1st,1
716577,Bot_1st,1
716577,Top_1st,1
716578,Bot_1st,0
716578,Top_1st,1
716579,Bot_1st,1
716579,Top_1st,0
716580,Bot_1st,0
716580,Top_1st,0
716581,Bot_1st,0
716581,Top_1st,1
716582,Bot_1st,1
716582,Top_1st,1
716583,Bot_1st,1
716583,Top_1st,0
716584,Bot_1st,1
716584,Top_1st,0
716585,Bot_1st,0
716585,Top_1st,1
716586,Bot_1st,0
716586,Top_1st,0
716587,Bot_1st,1
716587,Top_1st,1
716588,Bot_1st,0
716588,Top_1st,1
716589,Bot_1st,1
716589,Top_1st,1
716590,Bot_1st,1
716590,Top_1st,0
716591,Bot_1st,0
716591,Top_1st,1
716592,Bot_1st,1
716592,Top_1st,1
